"Name","Team","Season","GP","TOI","GF%","SF%","FF%","CF%","xGF%","GF/60","GA/60","SF/60","SA/60","FF/60","FA/60","CF/60","CA/60","xGF/60","xGA/60","G±/60","S±/60","F±/60","C±/60","xG±/60","Sh%","Sv%"
"Ducks","ANA","10-11",82,3852.27,46.34,45.92,45.12,44.46,45.15,2.07,2.4,26.38,31.07,36.67,44.6,47.11,58.86,2.07,2.51,-0.33,-4.69,-7.93,-11.75,-0.44,7.85,92.28
"Coyotes","ARI","10-11",82,3863.57,53.87,49.67,49.51,50.36,48.57,2.42,2.07,30.14,30.54,42.68,43.52,56.73,55.92,2.27,2.41,0.35,-0.4,-0.84,0.82,-0.13,8.02,93.23
"Thrashers","ATL","10-11",82,3910.83,45.55,48.96,49.57,48.4,47.17,2.12,2.53,30.06,31.34,41.34,42.05,54.54,58.15,2.27,2.55,-0.41,-1.28,-0.71,-3.61,-0.27,7.04,91.93
"Bruins","BOS","10-11",82,3935.4,59.07,50.69,50.73,51.42,50.33,2.69,1.86,32.51,31.62,43.97,42.7,60.05,56.74,2.34,2.31,0.83,0.88,1.26,3.31,0.03,8.27,94.11
"Sabres","BUF","10-11",82,3853.65,53.03,52.07,50.79,50.5,50.66,2.51,2.22,32.1,29.55,42.56,41.23,56.18,55.07,2.3,2.24,0.29,2.56,1.33,1.11,0.06,7.81,92.48
"Hurricanes","CAR","10-11",81,3740.58,48.97,47.46,47.44,48.77,48.21,2.38,2.48,29.72,32.9,42.41,46.99,59.01,62,2.54,2.73,-0.1,-3.19,-4.57,-2.98,-0.19,8.02,92.45
"Blue Jackets","CBJ","10-11",82,3774.07,46.34,49.75,50.14,50.07,50.27,2.18,2.52,28.85,29.14,39.98,39.76,53.29,53.14,2.22,2.2,-0.34,-0.29,0.22,0.15,0.02,7.56,91.34
"Flames","CGY","10-11",82,3837.55,51.99,52.05,52.44,51.58,53.99,2.48,2.29,29.48,27.17,41.72,37.83,55.97,52.54,2.22,1.89,0.19,2.32,3.89,3.44,0.33,8.41,91.58
"Blackhawks","CHI","10-11",82,3968.98,53.62,54.19,54.11,53.73,52.35,2.52,2.18,31.83,26.91,42.9,36.38,57.06,49.14,2.35,2.14,0.34,4.93,6.52,7.93,0.21,7.91,91.9
"Avalanche","COL","10-11",82,3849.7,45.82,47.19,46.57,46.15,49.16,2.26,2.68,28.03,31.37,38.06,43.66,49.99,58.32,2.24,2.32,-0.41,-3.34,-5.6,-8.33,-0.08,8.08,91.47
