Player,No.,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Draft,Player-additional
Mackenzie Blackwood,39,CA,G,28,4-Jun,225,-/L,6,December 9 1996,14-6-2 2.13 GAA,2015 NJD 2nd (42),blackma01
Ross Colton,20,US,F,28,Jun-00,194,L/-,4,September 11 1996,13 G 3 A 16 P,2016 TBL 4th (118),coltoro01
Calvin de Haan,44,CA,D,33,1-Jun,195,L/-,12,May 9 1991,0 G 7 A 7 P,2009 NYI 1st (12),dehaaca01
Jonathan Drouin,27,CA,F,29,11-May,198,L/-,10,March 28 1995,6 G 16 A 22 P,2013 TBL 1st (3),drouijo01
Jack Drury,18,US,F,24,11-May,186,L/-,3,February 3 2000,2 G 0 A 2 P,2018 CAR 2nd (42),druryja01
Samuel Girard,49,CA,D,26,10-May,170,L/-,7,May 12 1998,3 G 17 A 20 P,2016 NSH 2nd (47),girarsa01
Parker Kelly,17,CA,F,25,Jun-00,190,L/-,4,May 14 1999,5 G 8 A 13 P,,kellypa01
Joel Kiviranta,94,FI,F,28,11-May,185,L/-,5,March 23 1996,11 G 5 A 16 P,,kivirjo01
Oliver Kylington,58,SE,D,27,Jun-00,183,L/-,6,May 19 1997,1 G 1 A 2 P,2015 CGY 2nd (60),kylinol01
Artturi Lehkonen,62,FI,F,29,11-May,179,L/-,8,July 4 1995,23 G 10 A 33 P,2013 MTL 2nd (55),lehkoar01
Nathan MacKinnon,29,CA,F,29,Jun-00,200,R/-,11,September 1 1995,21 G 66 A 87 P,2013 COL 1st (1),mackina01
Cale Makar,8,CA,D,26,11-May,187,R/-,5,October 30 1998,22 G 41 A 63 P,2017 COL 1st (4),makarca01
Sam Malinski,70,US,D,26,11-May,190,R/-,1,July 27 1998,1 G 5 A 6 P,,malinsa01
Josh Manson,42,US,D,33,3-Jun,218,R/-,10,October 7 1991,1 G 12 A 13 P,2011 ANA 6th (160),mansojo01
Keaton Middleton,67,CA,D,26,6-Jun,240,L/-,1,February 10 1998,0 G 2 A 2 P,2016 TOR 4th (101),middlke01
Casey Mittelstadt,37,US,F,26,1-Jun,195,L/-,7,November 22 1998,9 G 23 A 32 P,2017 BUF 1st (8),mitteca01
Martin Necas,88,CZ,F,26,3-Jun,195,R/-,7,January 15 1999,4 G 5 A 9 P,2017 CAR 1st (12),necasma01
Logan O'Connor,25,US,F,28,Jun-00,175,R/-,6,August 14 1996,6 G 8 A 14 P,,oconnlo01
Juuso Parssinen,16,FI,F,23,3-Jun,212,L/-,2,February 1 2001,2 G 3 A 5 P,2019 NSH 7th (210),parssju01
Devon Toews,7,CA,D,30,1-Jun,191,L/-,6,February 21 1994,6 G 21 A 27 P,2014 NYI 4th (108),toewsde01
Scott Wedgewood,41,CA,G,32,2-Jun,201,-/L,6,August 14 1992,5-3-0 2.40 GAA,2010 NJD 3rd (84),wedgesc01
Miles Wood,28,US,F,29,2-Jun,195,L/-,9,September 13 1995,2 G 1 A 3 P,2013 NJD 4th (100),woodmi01
Jake Allen,34,CA,G,34,2-Jun,195,-/L,11,August 7 1990,9-11-1 2.56 GAA,2008 STL 2nd (34),allenja01
Nathan Bastian,14,CA,F,27,4-Jun,205,R/-,5,December 6 1997,3 G 5 A 8 P,2016 NJD 2nd (41),bastina01
Jesper Bratt,63,SE,F,26,10-May,175,L/-,7,July 30 1998,17 G 47 A 64 P,2016 NJD 6th (162),brattje01
Paul Cotter,47,US,F,25,2-Jun,212,L/-,3,November 16 1999,13 G 6 A 19 P,2018 VEG 4th (115),cottepa01
Brenden Dillon,5,CA,D,34,4-Jun,220,L/-,13,November 13 1990,2 G 10 A 12 P,,dillobr01
Justin Dowling,37,CA,F,34,10-May,180,L/-,6,October 1 1990,2 G 3 A 5 P,,dowliju01
Dougie Hamilton,7,CA,D,31,6-Jun,230,R/-,12,June 17 1993,8 G 28 A 36 P,2011 BOS 1st (9),hamildo01
Erik Haula,56,FI,F,33,11-May,191,L/-,11,March 23 1991,5 G 6 A 11 P,2009 MIN 7th (182),haulaer01
Jack Hughes,86,US,F,23,11-May,175,L/-,5,May 14 2001,24 G 41 A 65 P,2019 NJD 1st (1),hugheja03
Luke Hughes,43,US,D,21,2-Jun,184,L/-,2,September 9 2003,5 G 17 A 22 P,2021 NJD 1st (4),hughelu01
Johnathan Kovacevic,8,CA,D,27,4-Jun,208,R/-,3,July 12 1997,1 G 12 A 13 P,2017 WPG 3rd (74),kovacjo01
Curtis Lazar,42,CA,F,29,Jun-00,203,R/-,10,February 2 1995,1 G 3 A 4 P,2013 OTT 1st (17),lazarcu01
Kurtis MacDermid,23,CA,F,30,5-Jun,233,L/-,7,March 25 1994,0 G 0 A 0 P,,macdeku01
Jacob Markstrom,25,SE,G,35,6-Jun,207,-/L,14,January 31 1990,21-9-5 2.20 GAA,2008 FLA 2nd (31),marksja02
Timo Meier,28,CH,F,28,1-Jun,220,L/-,8,October 8 1996,15 G 23 A 38 P,2015 SJS 1st (9),meierti01
Dawson Mercer,91,CA,F,23,Jun-00,180,R/-,3,October 27 2001,13 G 12 A 25 P,2020 NJD 1st (18),merceda01
Stefan Noesen,11,US,F,31,1-Jun,205,R/-,10,February 12 1993,18 G 13 A 31 P,2011 OTT 1st (21),noesest01
Ondrej Palat,18,CS,F,33,Jun-00,194,L/-,12,March 28 1991,12 G 10 A 22 P,2011 TBL 7th (208),palaton01
Brett Pesce,22,US,D,30,3-Jun,206,R/-,9,November 15 1994,1 G 10 A 11 P,2013 CAR 3rd (66),pescebr01
Jonas Siegenthaler,71,CH,D,27,2-Jun,218,L/-,6,May 6 1997,2 G 7 A 9 P,2015 WSH 2nd (57),siegejo01
Tomas Tatar,90,CS,F,34,10-May,173,L/-,13,December 1 1990,5 G 8 A 13 P,2009 DET 2nd (60),tatarto01
Noel Acciari,55,US,F,33,10-May,209,R/-,9,December 1 1991,4 G 5 A 9 P,,acciano01
Anthony Beauvillier,72,CA,F,27,11-May,180,L/-,8,June 8 1997,12 G 6 A 18 P,2015 NYI 1st (28),beauvan01
Michael Bunting,8,CA,F,29,Jun-00,192,L/-,5,September 17 1995,14 G 14 A 28 P,2014 ARI 4th (117),buntimi01
Sidney Crosby (C),87,CA,F,37,11-May,200,L/-,19,August 7 1987,17 G 41 A 58 P,2005 PIT 1st (1),crosbsi01
Vincent Desharnais,7,CA,D,28,7-Jun,226,R/-,2,May 29 1996,0 G 0 A 0 P,2016 EDM 7th (183),deshavi01
Cody Glass,19,CA,F,25,3-Jun,206,R/-,5,April 1 1999,3 G 10 A 13 P,2017 VEG 1st (6),glassco01
Ryan Graves,27,CA,D,29,5-Jun,220,L/-,6,May 21 1995,0 G 0 A 0 P,2013 NYR 4th (110),gravery01
Matt Grzelcyk,24,US,D,31,10-May,176,L/-,8,January 5 1994,1 G 27 A 28 P,2012 BOS 3rd (85),grzelma01
Kevin Hayes,13,US,F,32,5-Jun,216,L/-,10,May 8 1992,9 G 5 A 14 P,2010 CHI 1st (24),hayeske01
Danton Heinen,43,CA,F,29,2-Jun,195,L/-,8,July 5 1995,0 G 1 A 1 P,2014 BOS 4th (116),heineda01
Bokondji Imama,14,CA,F,28,1-Jun,221,L/-,3,August 3 1996,0 G 0 A 0 P,2015 TBL 6th (180),imamabo01
Pierre-Olivier Joseph,73,CA,D,25,2-Jun,185,L/-,4,July 1 1999,0 G 1 A 1 P,2017 ARI 1st (23),joseppi01
Erik Karlsson,65,SE,D,34,Jun-00,190,R/-,15,May 31 1990,6 G 32 A 38 P,2008 OTT 1st (15),karlser01
Kris Letang,58,CA,D,37,Jun-00,201,R/-,18,April 24 1987,7 G 13 A 20 P,2005 PIT 3rd (62),letankr01
